,Case Number,Pre_Buyout_Disclosure_Declaration_Date,Buyout_Agreement_Date,Buyout Amount,Unknown Amount,Other Consideration,Number of Tenants,Address,ZIP Code,Supervisor District,Analysis Neighborhood,point,geocoding_confidence,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,"Areas of Vulnerability, 2016",Central Market/Tenderloin Boundary,Invest In Neighborhoods (IIN) Areas,Civic Center Harm Reduction Project Boundary,Neighborhoods
0,B181311,2018-04-25,2018-06-22,30000.0,0,True,3.0,5517 Diamond Heights Boulevard,94131.0,8.0,Glen Park,POINT (-122.43606529267193 37.73963200876739),100.0,96.0,9.0,5.0,10.0,1.0,0.0,0.0,0.0,96.0
1,B192941,2019-10-16,2019-12-23,45000.0,0,True,2.0,736 Girard Street,94134.0,9.0,Portola,POINT (-122.40295782553783 37.723307607664616),100.0,91.0,2.0,2.0,25.0,2.0,0.0,0.0,0.0,91.0
2,B162790,2016-09-01,2016-11-07,15000.0,0,True,1.0,115 Haight Street,94102.0,5.0,Hayes Valley,POINT (-122.42409679180732 37.77289359501378),100.0,27.0,4.0,11.0,9.0,1.0,0.0,0.0,0.0,27.0
3,B171756,2017-07-07,2017-11-02,28443.0,0,True,3.0,1322 29th Avenue,94122.0,4.0,Sunset/Parkside,POINT (-122.48778515419419 37.76262881982624),100.0,39.0,10.0,7.0,35.0,1.0,0.0,0.0,0.0,39.0
4,B191312,2019-06-14,2019-08-15,30000.0,0,True,1.0,3661 20th Street,94110.0,8.0,Mission,POINT (-122.42261418290296 37.75839602361164),100.0,52.0,3.0,5.0,20.0,1.0,0.0,0.0,0.0,52.0
5,B200436,2020-02-21,2020-05-07,34000.0,0,True,1.0,2226 California Street,94115.0,2.0,Pacific Heights,POINT (-122.43105883963247 37.789293923212874),100.0,102.0,4.0,6.0,30.0,1.0,0.0,0.0,0.0,102.0
6,B210948,2021-07-08,2021-09-29,7500.0,0,True,1.0,1373 46th Avenue,94122.0,4.0,Sunset/Parkside,POINT (-122.50601304858513 37.7609637045202),100.0,39.0,10.0,7.0,35.0,1.0,0.0,0.0,0.0,39.0
7,B192846,2019-10-11,2019-12-04,20939.0,0,True,3.0,1966 Pacific Avenue,94109.0,2.0,Pacific Heights,POINT (-122.42760163413871 37.794292622951566),100.0,102.0,4.0,6.0,30.0,1.0,0.0,0.0,0.0,102.0
8,B190756,2019-04-04,2019-07-01,20000.0,0,True,2.0,2082 33rd Avenue,94116.0,4.0,Sunset/Parkside,POINT (-122.491086599651 37.74835465280241),100.0,39.0,10.0,7.0,35.0,1.0,0.0,0.0,0.0,39.0
9,B211108,2021-07-30,2021-10-15,25000.0,0,True,1.0,876 Elizabeth Street,94114.0,8.0,Noe Valley,POINT (-122.44016678531224 37.75176283634675),100.0,51.0,3.0,5.0,22.0,1.0,0.0,0.0,0.0,51.0
10,B152729,2015-10-06,2016-01-13,20000.0,0,True,1.0,154 Stillings Avenue,94131.0,7.0,West of Twin Peaks,POINT (-122.44330890582557 37.73459473898718),100.0,72.0,9.0,8.0,41.0,1.0,0.0,0.0,0.0,72.0
11,B210098,2021-01-25,2021-06-15,25000.0,0,True,1.0,1414 40th Avenue,94122.0,4.0,Sunset/Parkside,POINT (-122.4994525884405 37.76038395638186),100.0,39.0,10.0,7.0,35.0,1.0,0.0,0.0,0.0,39.0
12,B163802,2016-12-09,2017-05-02,20000.0,0,True,1.0,667 Spruce Street,94118.0,2.0,Presidio Heights,POINT (-122.4533804109456 37.782512108330025),100.0,11.0,8.0,6.0,31.0,1.0,0.0,0.0,0.0,11.0
13,B170350,2017-02-21,2017-06-20,41306.13,0,True,1.0,2833 Sacramento Street,94115.0,2.0,Pacific Heights,POINT (-122.4395501594913 37.789112081784566),100.0,102.0,4.0,6.0,30.0,1.0,0.0,0.0,0.0,102.0
14,B211632,2021-11-04,2021-12-01,56000.0,0,True,2.0,567 02nd Avenue,94118.0,1.0,Inner Richmond,POINT (-122.4598185850606 37.77806942903156),100.0,5.0,8.0,4.0,11.0,1.0,0.0,0.0,0.0,5.0
15,B152526,2015-09-18,2015-11-25,32500.0,0,True,5.0,138 Raymond Avenue,94134.0,10.0,Visitacion Valley,POINT (-122.40595312386057 37.71288541194846),100.0,75.0,9.0,9.0,40.0,2.0,0.0,0.0,0.0,75.0
16,B152890,2015-10-19,2015-12-15,20000.0,0,True,2.0,1340 Union Street,94109.0,2.0,Russian Hill,POINT (-122.42140071771135 37.79891457670649),100.0,107.0,4.0,6.0,32.0,1.0,0.0,0.0,0.0,107.0
17,B170073,2017-01-12,2020-07-24,50000.0,0,True,3.0,1472 15TH Street,94103.0,9.0,Mission,POINT (-122.41707651950641 37.76687244643145),100.0,53.0,3.0,2.0,20.0,2.0,0.0,0.0,0.0,53.0
18,B172797,2017-11-03,2018-03-28,62000.0,0,True,2.0,275 castro Street,94114.0,8.0,Castro/Upper Market,POINT (-122.43533577423338 37.764521344885246),100.0,28.0,7.0,5.0,5.0,1.0,0.0,0.0,0.0,28.0
19,B191753,2019-07-24,2020-09-18,43000.0,0,True,2.0,61 Royal Lane,94112.0,11.0,Excelsior,POINT (-122.4378782017051 37.71299849238894),100.0,58.0,9.0,1.0,7.0,2.0,0.0,0.0,0.0,58.0
20,B191521,2019-06-28,2019-10-15,75200.0,0,True,4.0,2467 Pacific Avenue,94115.0,2.0,Pacific Heights,POINT (-122.43581202987029 37.79318870707315),100.0,102.0,4.0,6.0,30.0,1.0,0.0,0.0,0.0,102.0
21,B210616,2021-05-03,2021-08-16,70000.0,0,True,1.0,2716 Alemany Boulevard,94112.0,11.0,Outer Mission,POINT (-122.4493441784615 37.7138131656736),100.0,66.0,9.0,1.0,28.0,2.0,0.0,0.0,0.0,66.0
22,B200837,2020-06-16,2021-07-13,50000.0,0,True,2.0,1818 Santiago Street,94116.0,4.0,Sunset/Parkside,POINT (-122.48681958445876 37.744465852037855),100.0,40.0,10.0,7.0,35.0,1.0,0.0,0.0,0.0,40.0
23,B171761,2017-06-30,2017-09-15,40000.0,0,True,2.0,1006 Page Street,94117.0,5.0,Haight Ashbury,POINT (-122.43745380190546 37.77220967943624),100.0,112.0,7.0,11.0,3.0,1.0,0.0,0.0,0.0,112.0
24,B210702,2021-05-18,2021-10-13,100000.0,0,True,2.0,3552 22nd Street,94114.0,8.0,Noe Valley,POINT (-122.42679940250119 37.75498526259876),100.0,52.0,3.0,5.0,22.0,1.0,0.0,0.0,0.0,52.0
25,B151044,2015-04-29,2016-06-08,22212.8,0,True,2.0,233 Chestnut Street,94133.0,3.0,North Beach,POINT (-122.40732315939677 37.80444112185831),100.0,18.0,6.0,3.0,23.0,1.0,0.0,0.0,0.0,18.0
26,B210800,2021-06-08,2021-08-31,10000.0,0,True,1.0,409 Lawton Street,94122.0,7.0,Inner Sunset,POINT (-122.46718592830128 37.75836762001209),100.0,44.0,10.0,8.0,14.0,1.0,0.0,0.0,0.0,44.0
27,B172732,2017-10-19,2019-10-24,25000.0,0,True,1.0,1334 29th Avenue,94122.0,4.0,Sunset/Parkside,POINT (-122.48777071358904 37.76242294956802),100.0,39.0,10.0,7.0,35.0,1.0,0.0,0.0,0.0,39.0
28,B200312,2020-02-03,2020-02-03,3000.0,0,True,2.0,445 Francisco Street,94133.0,3.0,North Beach,POINT (-122.41253197555947 37.8047776980588),100.0,106.0,6.0,3.0,23.0,2.0,0.0,0.0,0.0,106.0
