#,Zip Code,Location,City,Population,Avg. Population Age,National Rank
1,94111,"37.801776, -122.402293","San Francisco, California",3335,50.8,#652
2,94104,"37.791222, -122.402241","San Francisco, California",374,48.1,"#1,191"
3,94127,"37.736535, -122.457320","San Francisco, California",20624,44.8,"#2,545"
4,94108,"37.791998, -122.408653","San Francisco, California",13716,42.3,"#4,940"
5,94133,"37.802071, -122.411004","San Francisco, California",26827,42.2,"#5,055"
6,94116,"37.744410, -122.486764","San Francisco, California",42958,40.5,"#8,128"
7,94131,"37.746699, -122.442833","San Francisco, California",27897,39.4,"#10,915"
8,94121,"37.776718, -122.495781","San Francisco, California",42473,39.1,"#11,739"
9,94102,"37.779500, -122.419233","San Francisco, California",28991,38.2,"#14,548"
10,94114,"37.758085, -122.434801","San Francisco, California",30574,37.7,"#16,148"
11,94122,"37.760412, -122.484966","San Francisco, California",55492,36.9,"#18,709"
12,94109,"37.794487, -122.422270","San Francisco, California",56322,36.8,"#19,015"
13,94112,"37.720498, -122.443119","San Francisco, California",73104,36.8,"#19,016"
14,94118,"37.781304, -122.461522","San Francisco, California",38939,36.7,"#19,290"
15,94103,"37.773147, -122.411287","San Francisco, California",23016,36.4,"#20,310"
16,94107,"37.768881, -122.395521","San Francisco, California",17368,36.4,"#20,311"
17,94105,"37.789168, -122.395009","San Francisco, California",2058,36.3,"#20,602"
18,94132,"37.722302, -122.491129","San Francisco, California",26291,36.2,"#20,894"
19,94134,"37.721052, -122.413573","San Francisco, California",40134,35.7,"#22,228"
20,94115,"37.786031, -122.437301","San Francisco, California",33115,35.3,"#23,118"
21,94123,"37.800254, -122.436975","San Francisco, California",22903,35.3,"#23,119"
22,94110,"37.750021, -122.415201","San Francisco, California",74633,32.9,"#27,341"
23,94117,"37.770533, -122.445121","San Francisco, California",38738,32.3,"#27,996"
24,94124,"37.731505, -122.384532","San Francisco, California",33170,31.6,"#28,595"
25,94129,"37.797526, -122.464531","San Francisco, California",2228,27.7,"#30,696"
26,94130,"37.820894, -122.369725","San Francisco, California",1453,25.4,"#31,226"
