#,Zip Code,Location,City,Population,Avg. Income/H/hold,National Rank
1,94127,"37.736535, -122.457320","San Francisco, California",20624,95313,#350
2,94105,"37.789168, -122.395009","San Francisco, California",2058,88976,#488
3,94123,"37.800254, -122.436975","San Francisco, California",22903,84710,#633
4,94130,"37.820894, -122.369725","San Francisco, California",1453,80959,#785
5,94131,"37.746699, -122.442833","San Francisco, California",27897,76044,"#1,042"
6,94114,"37.758085, -122.434801","San Francisco, California",30574,75727,"#1,062"
7,94129,"37.797526, -122.464531","San Francisco, California",2228,73571,"#1,212"
8,94116,"37.744410, -122.486764","San Francisco, California",42958,66627,"#1,928"
9,94117,"37.770533, -122.445121","San Francisco, California",38738,63983,"#2,270"
10,94121,"37.776718, -122.495781","San Francisco, California",42473,61776,"#2,604"
11,94118,"37.781304, -122.461522","San Francisco, California",38939,61609,"#2,635"
12,94107,"37.768881, -122.395521","San Francisco, California",17368,61362,"#2,684"
13,94122,"37.760412, -122.484966","San Francisco, California",55492,60733,"#2,836"
14,94112,"37.720498, -122.443119","San Francisco, California",73104,57629,"#3,456"
15,94111,"37.801776, -122.402293","San Francisco, California",3335,56569,"#3,736"
16,94132,"37.722302, -122.491129","San Francisco, California",26291,55000,"#4,148"
17,94115,"37.786031, -122.437301","San Francisco, California",33115,54879,"#4,175"
18,94134,"37.721052, -122.413573","San Francisco, California",40134,54342,"#4,313"
19,94110,"37.750021, -122.415201","San Francisco, California",74633,53795,"#4,462"
20,94109,"37.794487, -122.422270","San Francisco, California",56322,43444,"#9,253"
21,94133,"37.802071, -122.411004","San Francisco, California",26827,40990,"#11,167"
22,94124,"37.731505, -122.384532","San Francisco, California",33170,37146,"#14,780"
23,94108,"37.791998, -122.408653","San Francisco, California",13716,31542,"#21,584"
24,94103,"37.773147, -122.411287","San Francisco, California",23016,31131,"#22,156"
25,94102,"37.779500, -122.419233","San Francisco, California",28991,22351,"#29,644"
26,94104,"37.791222, -122.402241","San Francisco, California",374,14609,"#31,433"
27,94128,"37.626369, -122.385694","San Francisco, California",0,0,"#31,881"
,,,,,,
